JOURNAL_TITLE,JOURNAL_SUBJECTS
International Journal of Electrical and Computer Engineering (IJECE),"Computer Science & IT, Electrical & Electronics Engineering"
International Journal of Advances in Intelligent Informatics,Computer Science & IT
Indonesian Journal of Science and Technology,"Computer Science & IT, Environmental Science"
"TELKOMNIKA Telecommunication, Computing, Electronics and Control","Computer Science & IT, Electrical & Electronics Engineering"
Indonesian Journal of Electrical Engineering and Informatics (IJEEI),"Computer Science & IT, Electrical & Electronics Engineering"
Journal of ICT Research and Applications,Computer Science & IT
Jurnal Online Informatika,Computer Science & IT
"Jurnal Penelitian Komunikasi, Informatika dan Media Massa","Computer Science & IT, Decision Sciences, Operations Research & Management , Languange, Linguistic, Communication & Media"
Jurnal Ilmu Komputer dan Informasi,Computer Science & IT
INDONESIAN JOURNAL OF URBAN AND ENVIRONMENTAL TECHNOLOGY,"Arts, Humanities, Computer Science & IT, Environmental Science"
Register: Jurnal Ilmiah Teknologi Sistem Informasi,Computer Science & IT
Indonesian Journal on Computer and Cybernetics Systems,Computer Science & IT
Scientific Journal of Informatics,Computer Science & IT
Jurnal Teknologi Informasi dan Ilmu Komputer,Computer Science & IT
Khazanah Informatika,Computer Science & IT
Jurnal Edukasi dan Penelitian Informatika (JEPIN),"Computer Science & IT, Education"
CommIT (Communication & Information Technology),Computer Science & IT
Lontar Komputer,Computer Science & IT
EMITTER International Journal of Engineering Technology,Computer Science & IT
International Journal of Artificial Intelligence Research,"Computer Science & IT, Electrical & Electronics Engineering"
"Kinetik: Game Technology, Information System, Computer Network, Computing, Electronics, and Control","Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering, Energy, Engineering"
Makara Journal of Technology,Computer Science & IT
International Journal of Computing Science and Applied Mathematics,"Computer Science & IT, Education, Mathematics"
Bulletin of Post and Telecommunications,"Computer Science & IT, Electrical & Electronics Engineering, Social Sciences, Transportation"
ASEAN Journal on Science and Technology for Development,"Biochemistry, Genetics & Molecular Biology, Chemical Engineering, Chemistry & Bioengineering, Computer Science & IT, Mathematics"
Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi),"Computer Science & IT, Engineering"
"ComTech: Computer, Mathematics and Engineering Applications","Computer Science & IT, Engineering, Mathematics"
JURNAL SISTEM INFORMASI BISNIS,"Computer Science & IT, Economics, Econometrics & Finance"
Journal of Information Systems Engineering and Business Intelligence,Computer Science & IT
JURNAL TEKNOLOGI PENDIDIKAN,"Computer Science & IT, Education"
Jurnal Teknologi & Industri Hasil Pertanian,"Agriculture, Biological Sciences & Forestry, Computer Science & IT, Industrial & Manufacturing Engineering"
Indonesian Journal of Pharmaceutical Science and Technology,"Computer Science & IT, Medicine & Pharmacology"
Indonesian Journal of Combinatorics,"Computer Science & IT, Decision Sciences, Operations Research & Management"
BACA: JURNAL DOKUMENTASI DAN INFORMASI,"Computer Science & IT, Library & Information Science"
Jurnal Penelitian Pos dan Informatika,"Computer Science & IT, Decision Sciences, Operations Research & Management"
Jurnal Sistem Informasi,Computer Science & IT
Informatika Pertanian,"Agriculture, Biological Sciences & Forestry, Computer Science & IT"
Jurnal Penginderaan Jauh dan Pengolahan Data Citra Digital,Computer Science & IT
Jurnal Teknologi Dirgantara,"Aerospace Engineering, Computer Science & IT"
Teknologi Indonesia,Computer Science & IT
Jurnal Teknologi Bahan dan Barang Teknik,"Computer Science & IT, Electrical & Electronics Engineering, Energy, Engineering, Materials Science & Nanotechnology"
Jurnal Aplikasi Statistika & Komputasi Statistik,"Computer Science & IT, Decision Sciences, Operations Research & Management , Mathematics"
"CESS (Journal of Computer Engineering, System and Sains)",Computer Science & IT
MEDIA INFORMATIKA BUDIDARMA,"Computer Science & IT, Electrical & Electronics Engineering, Engineering"
Jurnal Sains dan Teknologi,"Computer Science & IT, Education"
InfoTekJar (Jurnal Nasional Informatika dan Teknologi Jaringan),Computer Science & IT
TECHNO COM,"Computer Science & IT, Engineering"
Jurnal Informatika,"Computer Science & IT, Control & Systems Engineering, Decision Sciences, Operations Research & Management , Electrical & Electronics Engineering"
INTENSIF,"Computer Science & IT, Decision Sciences, Operations Research & Management"
INVOTEK: Jurnal Inovasi Vokasional dan Teknologi,"Automotive Engineering, Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering, Energy, Engineering, Industrial & Manufacturing Engineering, Transportation"
Jurnal Transformatika,Computer Science & IT
TEKNIK INFORMATIKA,Computer Science & IT
CogITo Smart Journal,"Computer Science & IT, Decision Sciences, Operations Research & Management , Education, Electrical & Electronics Engineering"
Jurnal Pilar Nusa Mandiri,Computer Science & IT
SINTECH (Science and Information Technology) Journal,Computer Science & IT
IT JOURNAL RESEARCH AND DEVELOPMENT,"Computer Science & IT, Control & Systems Engineering, Engineering"
ILKOM Jurnal Ilmiah,Computer Science & IT
Jurnal Nasional Pendidikan Teknik Informatika (JANAPATI),"Computer Science & IT, Education, Engineering"
SISTEMASI,"Computer Science & IT, Electrical & Electronics Engineering"
Briliant: Jurnal Riset dan Konseptual,"Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Education"
VOLT : Jurnal Ilmiah Pendidikan Teknik Elektro,"Computer Science & IT, Control & Systems Engineering, Education, Electrical & Electronics Engineering, Engineering"
Jurnal Ipteks Terapan,Computer Science & IT
JURNAL TEKNIK INFORMATIKA DAN SISTEM INFORMASI,Computer Science & IT
Jurnal Teknologi Rekayasa,"Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Electrical & Electronics Engineering, Industrial & Manufacturing Engineering, Mechanical Engineering"
"ComTech: Computer, Mathematics and Engineering Applications","Computer Science & IT, Engineering, Mathematics"
CSRID (Computer Science Research and Its Development Journal),Computer Science & IT
Matrix : Jurnal Manajemen Teknologi dan Informatika,"Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Electrical & Electronics Engineering, Mechanical Engineering"
Digital Zone: Jurnal Teknologi Informasi dan Komunikasi,"Computer Science & IT, Engineering"
Jurnal Teknologi dan Sistem Informasi,"Computer Science & IT, Decision Sciences, Operations Research & Management"
Jurnal Teknologi Pertanian Andalas,"Agriculture, Biological Sciences & Forestry, Computer Science & IT"
Tech-E,Computer Science & IT
Computer Engineering and Applications Journal,"Computer Science & IT, Engineering"
Indonesian Journal of Informatics Education,"Computer Science & IT, Control & Systems Engineering, Education, Electrical & Electronics Engineering, Industrial & Manufacturing Engineering"
Jurnal RESISTOR (Rekayasa Sistem Komputer),"Computer Science & IT, Electrical & Electronics Engineering, Energy, Engineering"
Jurnal IPTEK,"Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Industrial & Manufacturing Engineering, Mechanical Engineering"
Teknika,"Computer Science & IT, Decision Sciences, Operations Research & Management"
Jurnal Fourier,"Computer Science & IT, Economics, Econometrics & Finance, Education, Mathematics"
Jurnal IPTEK-KOM (Jurnal Ilmu Pengetahuan dan Teknologi Komunikasi),"Computer Science & IT, Languange, Linguistic, Communication & Media, Library & Information Science, Social Sciences"
Faktor Exacta,"Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering, Industrial & Manufacturing Engineering"
JTT (Jurnal Teknologi Terapan),Computer Science & IT
Informatika Mulawarman,Computer Science & IT
INOVTEK Polbeng - Seri Informatika,Computer Science & IT
REKAYASA,"Agriculture, Biological Sciences & Forestry, Computer Science & IT, Electrical & Electronics Engineering, Engineering, Physics"
BAREKENG: JURNAL ILMU MATEMATIKA DAN TERAPAN,"Computer Science & IT, Decision Sciences, Operations Research & Management , Education, Engineering, Mathematics"
Indonesian Journal of Computer Science,Computer Science & IT
Logic : Jurnal Rancang Bangun dan Teknologi,"Computer Science & IT, Education"
Akademika Jurnal Teknologi Pendidikan,"Computer Science & IT, Education"
KOMPUTIKA - Jurnal Sistem Komputer,"Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering"
Jurnal Simetris,Computer Science & IT
Jurnal Informatika,Computer Science & IT
JUTI: Jurnal Ilmiah Teknologi Informasi,"Computer Science & IT, Dentistry, Education, Library & Information Science"
Jurnal Ilmu dan Teknologi Kesehatan,"Computer Science & IT, Health Professions"
Innovative Journal of Curriculum and Educational Technology,"Computer Science & IT, Education"
Jurnal Telematika,"Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering, Industrial & Manufacturing Engineering"
JRST (Jurnal Riset Sains dan Teknologi),"Chemical Engineering, Chemistry & Bioengineering, Chemistry, Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Engineering"
Indonesian Journal of Curriculum and Educational Technology Studies,"Computer Science & IT, Education"
Multitek Indonesia : Jurnal Ilmiah,"Chemical Engineering, Chemistry & Bioengineering, Chemistry, Civil Engineering, Building, Construction & Architecture, Computer Science & IT, Control & Systems Engineering"
SISFOTENIKA,Computer Science & IT
JIKO (Jurnal Informatika dan Komputer),Computer Science & IT
Jurnal Sains dan Informatika : Research of Science and Informatic,Computer Science & IT
Jurnal Informatika,"Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering"
Jurnal Sains dan Informatika,"Computer Science & IT, Engineering, Mathematics"
Jurnal Sisfokom (Sistem Informasi dan Komputer),"Computer Science & IT, Control & Systems Engineering, Decision Sciences, Operations Research & Management"
Jurnal Kesehatan Vokasional,"Computer Science & IT, Education, Health Professions, Nursing, Public Health"
"ELINVO (Electronics, Informatics, and Vocational Education)","Computer Science & IT, Education, Electrical & Electronics Engineering"
Jurnal Tekno Kompak,Computer Science & IT
Jurnal Teknoinfo,Computer Science & IT
Masyarakat Telematika Dan Informasi : Jurnal Penelitian Teknologi Informasi dan Komunikasi,"Computer Science & IT, Mathematics, Social Sciences"
Jurnal Ilmiah KOMPUTASI,Computer Science & IT
Jurnal Teknologi Informasi MURA,"Computer Science & IT, Control & Systems Engineering, Other"
Jurnal Teknik Komputer,Computer Science & IT
Jurnal Khatulistiwa Informatika,Computer Science & IT
Jurnal Techno Nusa Mandiri,Computer Science & IT
JIEET (Journal of Information Engineering and Educational Technology),"Computer Science & IT, Engineering"
Jurnal Elektro dan Telekomunikasi Terapan,"Computer Science & IT, Control & Systems Engineering, Education, Electrical & Electronics Engineering, Engineering"
IJIS - Indonesian Journal On Information System,Computer Science & IT
"Jurnal ELTIKOM : Jurnal Teknik Elektro, Teknologi Informasi dan Komputer","Aerospace Engineering, Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering, Engineering"
Jurnal Ilmiah Pendidikan Citra Bakti,"Humanities, Computer Science & IT, Education, Languange, Linguistic, Communication & Media, Mathematics"
Jurnal Inotera,"Computer Science & IT, Engineering, Industrial & Manufacturing Engineering, Materials Science & Nanotechnology, Mechanical Engineering"
Indonesian Journal of Applied Informatics,Computer Science & IT
semanTIK,"Computer Science & IT, Control & Systems Engineering"
Jurnal TAM (Technology Acceptance Model),Computer Science & IT
Nusantara Journal of Computers and its Applications,"Computer Science & IT, Control & Systems Engineering, Decision Sciences, Operations Research & Management , Education, Engineering"
"PROCESSOR Jurnal Ilmiah Sistem Informasi, Teknologi Informasi dan Sistem Komputer",Computer Science & IT
MATEMATIKA DAN PEMBELAJARAN,"Computer Science & IT, Decision Sciences, Operations Research & Management , Education, Environmental Science, Mathematics"
Jurnal Manajemen Informasi Kesehatan Indonesia (JMIKI),"Computer Science & IT, Health Professions, Public Health"
SinkrOn,"Computer Science & IT, Mathematics, Mechanical Engineering"
Jurnal ICT : Information Communication & Technology,Computer Science & IT
SATIN - Sains dan Teknologi Informasi,Computer Science & IT
Journal of Information Technology and Computer Science,"Computer Science & IT, Control & Systems Engineering, Electrical & Electronics Engineering, Engineering"
Angkasa: Jurnal Ilmiah Bidang Teknologi,Computer Science & IT
Jurnal CoreIT,Computer Science & IT
Syntax Jurnal Informatika,Computer Science & IT
EVOLUSI : Jurnal Sains dan Manajemen,Computer Science & IT
STRING (Satuan Tulisan Riset dan Inovasi Teknologi),Computer Science & IT
Jurnal Teknologi Pangan dan Gizi,Computer Science & IT
