JOURNAL_TITLE,JOURNAL_SUBJECTS
Buletin Ekonomi Moneter dan Perbankan,
Jurnal Pendidikan IPA Indonesia,Education
Forest and Society,"Agriculture, Biological Sciences & Forestry, Environmental Science, Social Sciences"
International Journal of Electrical and Computer Engineering (IJECE),"Computer Science & IT, Electrical & Electronics Engineering"
Journal of the Indonesian Tropical Animal Agriculture,"Agriculture, Biological Sciences & Forestry, Earth & Planetary Sciences"
Bulletin of Electrical Engineering and Informatics,Electrical & Electronics Engineering
Journal of Engineering and Technological Sciences,Engineering
Gadjah Mada International Journal of Business,"Economics, Econometrics & Finance"
Indonesian Journal of Islam and Muslim Societies,"Religion, Arts, Humanities"
International Journal of Advances in Intelligent Informatics,Computer Science & IT
Journal of Mathematical and Fundamental Sciences,Mathematics
Indonesian Journal of Science and Technology,"Computer Science & IT, Environmental Science"
International Journal of Evaluation and Research in Education (IJERE),Education
Tropical Animal Science Journal,"Agriculture, Biological Sciences & Forestry, Energy"
International Journal of Renewable Energy Development,Energy
"TELKOMNIKA Telecommunication, Computing, Electronics and Control","Computer Science & IT, Electrical & Electronics Engineering"
Indonesian Journal of Electrical Engineering and Informatics (IJEEI),"Computer Science & IT, Electrical & Electronics Engineering"
IJOG : Indonesian Journal on Geoscience,Earth & Planetary Sciences
QIJIS,"Religion, Education"
Atom Indonesia Journal,Materials Science & Nanotechnology
"AGRIVITA, Journal of Agricultural Science","Agriculture, Biological Sciences & Forestry"
HAYATI Journal of Biosciences,"Agriculture, Biological Sciences & Forestry, Earth & Planetary Sciences"
Journal of Degraded and Mining Lands Management,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology"
Jurnal Ilmu Sosial dan Ilmu Politik,"Law, Crime, Criminology & Criminal Justice, Social Sciences"
Indonesian Journal of Chemistry,"Chemical Engineering, Chemistry & Bioengineering, Chemistry"
Indonesian Journal of Biotechnology,"Biochemistry, Genetics & Molecular Biology, Immunology & microbiology, Materials Science & Nanotechnology"
Bulletin of Chemical Reaction Engineering & Catalysis,"Chemical Engineering, Chemistry & Bioengineering, Chemistry"
Jurnal Perencanaan Wilayah dan Kota,"Civil Engineering, Building, Construction & Architecture"
Indonesian Journal of Forestry Research,"Agriculture, Biological Sciences & Forestry"
Indonesian Journal of Geography,Earth & Planetary Sciences
The Indonesian Biomedical Journal,"Biochemistry, Genetics & Molecular Biology, Public Health"
Medical Journal of Indonesia,Medicine & Pharmacology
Indonesian Aquaculture Journal,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology"
Wacana: Journal of the Humanities of Indonesia,"Humanities, Social Sciences"
Molekul: Jurnal Ilmiah Kimia,"Chemical Engineering, Chemistry & Bioengineering, Chemistry"
SAINS TANAH - Journal of Soil Science and Agroclimatology,Education
JOURNAL OF INDONESIAN ISLAM,"Religion, Social Sciences"
INDONESIAN JOURNAL OF PHARMACY,Medicine & Pharmacology
TEFLIN Journal: A publication on the teaching and learning of English,"Languange, Linguistic, Communication & Media"
International Journal of Power Electronics and Drive Systems (IJPEDS),"Control & Systems Engineering, Electrical & Electronics Engineering"
Kesmas: Jurnal Kesehatan Masyarakat Nasional,Public Health
MANAJEMEN HUTAN TROPIKA Journal of Tropical Forest Management,"Agriculture, Biological Sciences & Forestry"
Journal of ICT Research and Applications,Computer Science & IT
Squalen Bulletin of Marine and Fisheries Postharvest and Biotechnology,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Environmental Science, Immunology & microbiology"
Jurnal Respirologi Indonesia,"Health Professions, Medicine & Pharmacology"
PARAMUROBI,Education
Electronic Journal of Graph Theory and Applications (EJGTA),Electrical & Electronics Engineering
KUKILA,Other
Forum Penelitian Agro Ekonomi,"Agriculture, Biological Sciences & Forestry, Economics, Econometrics & Finance"
Jurnal Aplikasi Manajemen,"Decision Sciences, Operations Research & Management"
Jurnal Pascapanen Pertanian,"Agriculture, Biological Sciences & Forestry"
Jurnal Agronomi Indonesia (Indonesian Journal of Agronomy),"Agriculture, Biological Sciences & Forestry, Economics, Econometrics & Finance"
BERITA BIOLOGI,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology"
Riset Akuntansi dan Keuangan Indonesia,"Economics, Econometrics & Finance"
Marine Research in Indonesia,Earth & Planetary Sciences
Jurnal Kesehatan Masyarakat,Public Health
Buletin Plasma Nutfah,"Biochemistry, Genetics & Molecular Biology"
Jurnal Ilmu dan Teknologi Kayu Tropis,"Agriculture, Biological Sciences & Forestry"
Jurnal Online Informatika,Computer Science & IT
Buletin Penelitian Tanaman Rempah dan Obat,"Decision Sciences, Operations Research & Management"
Analisis Kebijakan Pertanian,"Agriculture, Biological Sciences & Forestry"
Biosfer: Jurnal Pendidikan Biologi,Education
Tadris: Jurnal keguruan dan Ilmu Tarbiyah,Education
Jurnal Ilmu Pendidikan,Education
EKUITAS (Jurnal Ekonomi dan Keuangan),"Economics, Econometrics & Finance"
JURNAL ILMIAH PENDIDIKAN FISIKA AL-BIRUNI,"Earth & Planetary Sciences, Education, Electrical & Electronics Engineering, Physics"
Jurnal Agro Ekonomi,"Agriculture, Biological Sciences & Forestry"
"Jurnal Penelitian Komunikasi, Informatika dan Media Massa","Computer Science & IT, Decision Sciences, Operations Research & Management , Languange, Linguistic, Communication & Media"
The South East Asian Journal of Management,
International Journal on Emerging Mathematics Education,Education
Jurnal Wilayah dan Lingkungan,Earth & Planetary Sciences
Jurnal Pendidikan Ekonomi & Bisnis (Edisi Elektronik),"Economics, Econometrics & Finance"
Jurnal Pascapanen dan Bioteknologi Kelautan dan Perikanan,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Environmental Science"
AL-IQTISHAD,"Economics, Econometrics & Finance"
Majalah Geografi Indonesia,Earth & Planetary Sciences
Jurnal ASET (Akuntansi Riset),"Economics, Econometrics & Finance"
Jurnal Ilmiah Perikanan dan Kelautan,Earth & Planetary Sciences
Scientific Dental Journal,"Biochemistry, Genetics & Molecular Biology, Dentistry, Education, Health Professions, Immunology & microbiology"
Jurnal Legislasi Indonesia,"Law, Crime, Criminology & Criminal Justice"
Jurnal Pendidikan dan Kebudayaan,Education
Journal of South East Asian Human Rights,"Arts, Humanities, Social Sciences"
Buletin Palawija,"Agriculture, Biological Sciences & Forestry"
Indonesian Journal of Sustainability Accounting and Management,"Decision Sciences, Operations Research & Management , Economics, Econometrics & Finance"
Journal of Research and Advances in Mathematics Education,"Education, Mathematics"
Jurna lAntropologi Indonesia,Social Sciences
