S0,JOURNAL_TITLE,ARTICLE_TITLE,ARTICLE_ABSTRACT
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Sistem Panjaminan Mutu Pendidikan Dengan TOGAF ADM Untuk Sekolah Menengah Kejuruan ,"Perencanaan penerapan teknologi informasi digunakan untuk menciptakan keselarasan dengan fungsi bisnis bagi kebutuhan organisasi. Kerangka penyelarasan kesenjangan organisasi dibutuhkan sebagai paradigma dalam merencanakan, merancang, dan mengelola sistem informasi yang disebut dengan Enterprise Architecture (EA). Sekolah Menengah Kejuruan (SMK) sebagai institusi pendidikan dalam mengembangkan arsitektur enterprise mengadopsi framework The Open Group Architecture Framework (TOGAF) Architecture Development Method (ADM) untuk mengintegrasikan fungsi bisnis sekolah guna mendukung Sistem Penjaminan Mutu Pendidikan (SPMP). Metodologi perancangan EA dengan membangun arsitektur bisnis, data, aplikasi dan teknologi menghasilkan blueprint yang dijadikan model dasar dalam pengembangan arsitektur untuk mendukung pencapaian tujuan strategis organisasi. Pengujian validitas rancangan EA digunakan EA Scorecard untuk metode analisanya. Tahapan rancangan untuk implementasi disesuaikan dengan standar tata kelola teknologi informasi dari kerangka Permenkominfo No.41 tahun 2007 dan critical succes factor untuk keberhasihan penerapan rancangan EA."
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Rancang Bangun Sistem Informasi Manajemen Pegawai (SIM-Peg) Di Universitas Pesantren Tinggi Darul  ,"Perkembangan teknologi komputer yang semakin pesat mengakibatkan badan usaha maupun lembaga akademik perlu mengiplementasikan kemajuan teknologi ini untuk banyak keperluan. Sumber daya manusia dalam hal ini pegawai merupakan elemen penting dalam sebuah organisasi akademik terutama di sebuah institusi pendidikan, terutama di Unipdu Jombang. Informasi-informasi penting mengenai seluruh informasi pegawai terkandung di dalamnya. Oleh karena itu setiap aktivitas yang berkaitan dengan pegawai atau karyawan, harus dilakukan penyimpanan data dan didokumentasikan dengan baik. Dengan adanya masalah yang telah sebutkan di atas, Unipdu Jombang dirasa perlu untuk membuat sebuah dokumentasi dan arsip elektronik tentang kepegawaian. Sistem Informasi Manajemen Pegawai merupakan aplikasi berbasis web, yang dapat mengelola aktifitas pegawai di Unipdu yang meliputi: data pegawai, keluarga pegawai, pendidikan, pelatihan, penelitian, pengabdian kepada masyarakat, data keluarga, dokumen pribadi, data jabatan, level pegawai, serta kehadiran kegiatan rutin. Metode penelitian yang digunakan dalam penelitian ini adalah Waterfall, sedangkan metode pengembangan perangkat lunak menggunakan metode USDP (Unified Software Development Process), yang mana metode ini menggunakan diagram UML (Unified Modelling Language) dengan menggunakan activity diagram, use case diagram, dan class diagram. Hasil dari aplikasi yang dibangun adalah memberikan laporan berupa keadaan pegawai secara tepat, sehingga membantu pihak kepegawaian Unipdu Jombang untuk melakukan kebijakan terhadap keadaan pegawai Unipdu Jombang, serta dapat memberikan kemudahan dalam memanajemen keadaan pegawai di Unipdu Jombang, baik itu dari proses rekrutmen pegawai maupun mutasi."
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Analisis Aplikasi Integrated Postal Operations System (IPOS) Pada PT. Pos Indonesia (Persero) KPRK Jombang Menggunakan Metode PIECES ,"PT. Pos Indonesia (Persero) Kantor Pemeriksa (KPRK) Jombang atau Kantor Pos Jombang merupakan Badan Usaha Milik Negara (BUMN) yang bergerak dalam bidang jasa pengiriman. Dalam proses bisnisnya, Kantor Pos Jombang menggunakan sebuah aplikasi bernama Integrated Postal Operations System (IPOS). Dalam artikel ini, penulis melakukan analisis pada Aplikasi IPOS untuk mengetahui penerapannya pada transaksi pengiriman surat dan barang di Loket Retail Kantor Pos Jombang dan mengetahui aspek PIECES (Performance, Information/Data, Economic, Control/Security, Efficiency, dan Service) dari Aplikasi IPOS. Metode pengumpulan data yang digunakan penulis adalah wawancara, observasi, dan studi pustaka. Dari hasil analisis yang telah dilakukan, dapat disimpulkan bahwa Aplikasi IPOS sangat mendukung Kantor Pos Jombang dalam transaksi pengiriman surat dan barang. Aplikasi IPOS dapat mempercepat dan mempermudah proses transaksi pengiriman, serta dapat memberikan informasi yang akurat, tepat waktu, dan relevan.Kata kunci: Proses Transaksi Pengiriman, Aplikasi IPOS, Metode PIECES.PT. Pos Indonesia (Persero) Kantor Pemeriksa (KPRK) Jombang or Jombang Post Office was the State Owned Enterprises (SOEs) which is engaged in delivery services. In its business processes, Jombang Post Office uses an application called Integrated Postal Operations System (IPOS). In this paper, authors analyzed IPOS to observe the PIECES (Performance, Information/Data, Economic, Control/Security, Efficiency, and Service) aspects of IPOS in the task of mail and goods delivery transaction in Retail Locket of Post Office Jombang. The, data collection methods used by the author are interview, observation, and literature study. From the analysis that has been done, it can be concluded that IPOS strongly supports Jombang Post Office in transaction of mail and goods delivery. IPOS can speed up and simplify the transaction of mail and goods delivery, and it can provide information that is accurate, timely, and relevant. Keywords: Transaction of Mail and Goods Delivery, IPOS, PIECES Methods."
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Rancang Bangun Sistem Pakar Untuk Mendiagnosis Gangguan Kepribadian Histerik Menggunakan Metode Certainty Factor ,"Gangguan kepribadian histerik atau yang biasa dikenal dengan gangguan kepribadian histrionik merupakan gangguan kepribadian dengan karakter emosi yang meluap-luap, termasuk keinginan berlebihan untuk mendapatkan pujian. Penderita gangguan kepribadian histerik mempunyai tingkah laku yang dramatik dan bereaksi terhadap sesuatu secara berlebihan, serta selalu ingin diperhatikan. Banyak orang yang mengalami gangguan ini, terutama kalangan remaja. Namun sebagian besar dari penderita gangguan ini kurang menyadari kondisinya dan menolak untuk melakukan konsultasi ke psikolog atau psikiater. Oleh sebab itu, dibutuhkan suatu sistem pakar yang dapat membantu untuk mendiagnosis secara mandiri gangguan kepribadian histerik dan mampu memberikan solusi penanganan yang tepat. Sistem tersebut dibangun dengan menggunakan metode waterfall dan metode certainty factor sebagai metode kepakarannya. Hasil dari penelitian ini adalah sistem pakar berbasis web untuk mendiagnosis tingkat gangguan kepribadian histerik. Sistem akan menampilkan nilai kepastian dan tingkat gangguan kepribadian histerik yang dialami pengguna, serta solusi penanganannya. Uji hasil kepakaran dilakukan dengan cara membandingkan hasil diagnosis dari sistem dengan hasil diagnosis dari pakar. Hasil uji kepakaran menunjukkan bahwa hasil diagnosis sistem sudah mendekati kebenaran dari diagnosis seorang pakar. Nilai prosentase sistem sebesar 83,01% dan nilai prosentase pakar sebesar 83,3%. Dengan adanya sistem pakar ini, masyarakat umum dapat melakukan diagnosis mandiri untuk mengetahui tingkat gangguan kepribadian histerik yang dialami serta penanganannya dengan mudah tanpa harus datang ke psikolog."
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Peran Sistem Informasi Dalam Meningkatkan Investasi Asing Pada Sektor Properti Di  Indonesia di Era Pasar Bebas ,"Pasar bebas adalah hasil dari proses globalisasi yang telah menciptakan integrasi ekonomi antar negara.Artikel ini mengkaji dampak globalisasi di pasar properti global dan peran sistem informasi untukmeningkatkan investasi asing di Indonesia. Meningkatnya investasi asing langsung (Foreign DirectInvestmen/FDI) yang mengalir ke negara berkembang termasuk Indonesia di berbagai sektor termasukproperti telah memberikan banyak manfaat untuk meningkatkan ekonomi. Buruknya peraturankepemilikan tanah dan infrastruktur adalah masalah utama yang harus diatasi untuk menjaga agarinvestor asing masih berniat untuk menanamkan modalnya dalam pasar properti global. Sisteminformasi dapat digunakan sebagai alat yang efektif untuk mengatasi masalah-masalah tersebut melaluipenggunaan e-government dan perencanaan strategis implementasi sistem informasi dalam proyekinfrastruktur.Kata kunci: e-government,globalisasi, investasi asing, pasar properti global,sistem informasi.Cross-border relationships do not only affect many aspects but it also creates economic integrationamong countries. This essay examines the impact of globalization on the property market and the roleof information system to promote foreign direct investment (FDI) in Indonesia. Allowing foreign directinvestment (FDI) flows to those developing in various industries including property has clearly providedpositive opportunities to improve their economic. Poor land regulations and infrastructure are the mainissues that must be overcome to maintain foreign investor still intend to capitalize on the global propertymarket. Information system can be used as effective tool to resolve those issues through e-governmentand strategic implementation in projects infrastructure.Keywords:e-government,foreign direct investment, globalization, global property market, systeminformation. "
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Deteksi Kanker Kulit Melanoma dengan Linear Discriminant Analysis-Fuzzy k-Nearest Neigbhour Lp-Norm ,"Seiring perkembangan teknologi dilakukan otomatisasi deteksi kanker kulit melalui citra dermoscopy. Pengambilan informasi fitur citra dermoscopy terganggu dengan outlier dan overfitting, karena faktor jenis kulit, penyebaran kanker yang tidak merata atau kesalahan sampling. Penelitian ini mengusulkan deteksi kanker kulit melanoma dengan mengintegrasikan metode fuzzy K-Nearest Neighbour (FuzzykNN), Lp-norm dan Linear Discriminant Analysis (LDA) untuk mengurangi outlier dan overfitting. Masukan berupa citra warna RGB yang dinormalisasi menjadi RGBr. Reduksi dimensi dengan LDA menghasilkan fitur dengan nilai eigen paling menonjol. LDA pada penelitian ini menghasilkan dua fitur paling menonjol dari 141 jenis fitur, yaitu wilayah tumor dan minimum wilayah tumor channel R. Kemudian dilakukan klasifikasi FuzzykNN dan metode pengukur jarak Lp-norm. Penggunaan metode LDA dan Lp-norm dalam proses klasifikasi ini mengatasi terjadinya overfitting. Akurasi yang dihasilkan metode LDA-fuzzykNN Lp Norm, yaitu 72% saat masing-masing nilai p dan k = 25. Metode gabungan ini terbukti cukup baik dari pada metode yang dijalankan terpisah. Kata kunci: melanoma, fuzzy, KNN, Lp-norm, LDA.As the advancement of technology skin cancer detection need to be automated with the use of dermoscopy image. Outlier and overfitting are the problem in feature extraction of dermoscopy image, this can be caused by skin type, uneven cancer distribution or sampling error. This study proposed melanoma skin cancer detection by fuzzy K-Nearest Neighbour (FuzzykNN) with Lp-norm integrated with Linear Discriminant Analysis (LDA) to reduce the problem of outlier and overfitting. Input used in this study are images with RGB channel, then it adapted to RGBr. Dimensional reduction with LDA result in features with highest eigen value. LDA in this research select 2 discriminant, they are tumor area and minimum tumor area in R channel. This features then classified by fuzzykNN with Lp-Norm. Integration of LDA and Lp-norm in classification can reduce the problem of overfitting. This study results in 72% accuracy when the value of p and k are 25. Integration of LDA and fuzzykNN with Lp-norm has better result than unintegrated method. Keywords: melanoma, fuzzy, KNN, Lp-norm, LDA."
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Rancang Bangun Sistem Informasi Pengelolaan Kendaraan di PT PLN (Persero) Area Mojokerto ,"PT Perusahaan Listrik Negara (PT PLN) (Persero) Area Mojokerto merupakan salah satu cabang dari PT PLN (Persero) Distribusi Jawa Timur yang bergerak di bidang pelayanan terhadap pelanggan. Pada PT PLN (Persero) Area Mojokerto terdapat sebuah bagian yang khusus menangani pengelolaan kendaraan. Proses pengelolaan kendaraan pada PT PLN (Persero) Area Mojokerto saat ini masih menggunakan Microsoft Excel, sehingga belum bisa memberikan pelayanan cepat dalam proses peminjaman mobil dan kurang efisien dalam perihal penyimpanan data. Permasalahan yang akan dituntut ada penyelesaiannya agar pegawai mendapat pelayanan secara proporsional akan pelayanan yang tersedia. Solusi dari permasalahan tersebut adalah membuat adanya aplikasi baru. Adapun aplikasi yang dibuat yaitu Aplikasi berbasis Web dengan menggunakan bahasa pemrograman PHP dan database MySQL. Hasil penelitian ini berupa sebuah Aplikasi Pengelolaan Kendaraan. Dengan adanya solusi yang demikian mampu meningkatkan terlaksana proses kerja pada bagian manajemen kendaraan yang lebih maksimal serta mempermudah pelayanan pada proses peminjaman kendaraan"
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Adaptif Range-Constrained Otsu Untuk Pemilihan Threshold Secara Otomatis Pada Histogram Citra Dengan Variansi Kelas Yang Tidak Seimbang ,"Abstrak Image Thresholding merupakan proses segmentasi untuk pemisahkan foreground dan background pada citra dengan cara membagi histogram citra menjadi dua kelas. Beberapa metode thresholding seperti Otsu dan Range-constrained Otsu menggunakan nilai variansi dari histogram untuk mendapatkan titik threshold, namun ketika menangani citra yang memiliki nilai variansi kelas foreground dan background tidak seimbang titik threshold yang dihasilkan kurang tepat. Paper ini mengusulkan metode Adaptif Range-constrained Otsu untuk mengatasi permasalahan variansi kelas yang tidak seimbang dengan cara mencari kelas yang memiliki nilai variansi lebih besar, untuk mendapatkan titik threshold yang lebih tepat. Pengujian menggunakan 22 NDT image dengan evaluasi misclassification error rate dan metode perankingan menunjukkan metode ini menghasilkan rerata ME 0.1153. Sedangkan Otsu sebesar 0.1746. Nilai rerata ranking 3.55, selisih 0.05 dibanding Kittler III. Hasil ini menunjukkan metode yang diusulkan kompetitif, terutama untuk segmentasi citra yang memiliki variansi kelas tidak sama. Kata kunci: segmentasi, thresholding, histogram, Otsu, Range-constrained. Abstract Image thresholding is segmentation process for separating foreground and background of an image by dividing image histogram into two classes. Several thresholding methods like Otsu and Rangeconstrained Otsu using the variance value of the histogram to get the threshold point, but when handling images that have unbalance class variance of the foreground and background produce less accurate threshold point. This paper proposes a method Adaptive Range-constrained Otsu to solve unbalance class variance problem by finding a class that has greater variance value to obtain more accurate threshold point. NDT testing using 22 images with misclassification error rate evaluation and ranking methods shows that this method results ME average of 0.1153, while Otsu method results 0.1746. The rankings mean value is 3.55, which has the difference of 0.05 when compared with Kittler III. These results show that the proposed method is competitive, especially for image segmentation with different class variance. Key word: segmentasi, thresholding, histogram, Otsu, Range-constrained."
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Perancangan Sistem Pendukung Keputusan Pemilihan Pelanggan Terbaik Menggunakan Metode Simple Additive Weighting (SAW) Pada Bravo Supermarket Jombang ,"Persaingan merupakan hal yang biasa terjadi terutama dalam dunia bisnis, tidak terkecuali yang telah dialami oleh Bravo Supermarket Jombang. Bravo bukanlah satu-satunya supermarket di kota Jombang, sehingga Bravo harus bersaing dengan para kompetitornya agar Bravo bisa bersaing dan tetap produktif. Salah satu cara yang dapat digunakan dalam meningkatkan penjualan dan loyalitas pelanggan adalah dengan memberikan reward kepada para pelanggan terbaik. Oleh karena itu perlu dibuatlah sebuah perancangan sistem pendukung keputusan dalam pemilihan pelanggan terbaik pada Bravo. Dalam perancangan sistem yang dibuat nantinya berbasis web dengan metode SAW(Simple Additive Weighting)sebagai proses perhitungan pemilihan pelanggan terbaik. Hasil dari perancangan sistem pemilihan pelanggan terbaik pada Bravo Supermarket Jombang diharapkan dapat membantu pihak manajemen Bravo dalam pemilihan pelanggan terbaik yang akan menerima reward dan akhirnya akan mampu meningkatkan loyalitas pelanggan dan profit Bravo.Kata kunci: Bravo, sistem pendukung keputusan, pelanggan, SAW. Competition is a common thing, especially in the business world, is no exception has been experienced by Bravo Supermarket Jombang. Bravo is not the only supermarket in the town of Jombang, so that Bravo had to compete with its competitors in order Bravo to compete and remain productive. One way that can be used to increase sales and customer loyalty is to give rewards to the best customers. Therefore, it needs to be made to a design decision support system in the selection of the best customers on Bravo. In designing the system made later on a web-based method of SAW (Simple Additive weighting) as the process of calculating the best customer selection. The results of the election system design best customers at Bravo Supermarket Jombang expected to assist management in selecting the best customer Bravo who will receive rewards and will eventually be able to increase customer loyalty and profit Bravo. Keywords: Bravo, decision support system, customers, SAW."
S0,Register: Jurnal Ilmiah Teknologi Sistem Informasi,Rancang Bangun Sistem Pendukung Keputusan Penentuan Program Acara Di KSTV Kediri Dengan Menggunakan Metode Fuzzy AHP ,"Penentuan program acara pada suatu stasiun televisi merupakan denyut nadi dari penyiaran pertelevisian. Mekanisme semacam ini harus didukung dengan sistem pendukung keputusan yang bukan hanya mempermudah suatu pekerjaan, tetapi efektifitas dan efisiensinya. Penelitian ini bertujuan untuk menghasilkan sistem pendukung keputusan yang dapat memberikan rekomendasi alternatif program acara sesuai dengan perbandingan kriteria dan alternatif yang telah dievaluasi dengan menggunakan metode Fuzzy AHP. Kriteria yang digunakan pada sistem meliputi biaya produksi, daya tarik, tema, segmentasi, profit, orientasi program, dan etika. Dengan adanya sistem pendukung keputusan ini akan mempermudah divisi program acara dalam menentukan program acara yang akan ditayangkan. Selain itu, sistem juga memberikan kemudahan bagi manager operasional dalam mengawasi acara-acara yang ada dalam proses broadcast KSTV."
