JOURNAL_TITLE,JOURNAL_SUBJECTS
Jurnal Pendidikan IPA Indonesia,EducationdInternational Journal of Evaluation and Research in Education (IJERE),EducationdQIJIS,"Religion, Education"dSAINS TANAH - Journal of Soil Science and Agroclimatology,EducationdPARAMUROBI,EducationdBiosfer: Jurnal Pendidikan Biologi,EducationdTadris: Jurnal keguruan dan Ilmu Tarbiyah,EducationdJurnal Ilmu Pendidikan,EducationdJURNAL ILMIAH PENDIDIKAN FISIKA AL-BIRUNI,"Earth & Planetary Sciences, Education, Electrical & Electronics Engineering, Physics"dInternational Journal on Emerging Mathematics Education,EducationdScientific Dental Journal,"Biochemistry, Genetics & Molecular Biology, Dentistry, Education, Health Professions, Immunology & microbiology"dJurnal Pendidikan dan Kebudayaan,EducationdJournal of Research and Advances in Mathematics Education,"Education, Mathematics"dAl-Jabar : Jurnal Pendidikan Matematika,"Education, Mathematics"dJURNAL PENDIDIKAN USIA DINI,EducationdJEELS,"Education, Languange, Linguistic, Communication & Media"dJurnal Infinity,EducationdRegister Journal,"Education, Languange, Linguistic, Communication & Media"dJurnal Riset Pendidikan Matematika,"Decision Sciences, Operations Research & Management , Education, Mathematics"dInternational Journal of Education,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Mathematics, Physics, Social Sciences"dPRofesi Humas : Jurnal Ilmiah Ilmu Hubungan Masyarakat,"Education, Languange, Linguistic, Communication & Media, Social Sciences"dJurnal Kajian Bimbingan dan Konseling,"Arts, Humanities, Education, Public Health, Social Sciences"dJournal of Education and Learning,"Economics, Econometrics & Finance, Education, Languange, Linguistic, Communication & Media, Mathematics, Social Sciences"dJurnal Penelitian & Pengembangan Pendidikan Fisika,"Education, Physics"dJURNAL BIOEDUKATIKA,EducationdJurnal Ilmiah Peuradeun,"Religion, Humanities, Education, Law, Crime, Criminology & Criminal Justice, Social Sciences"dPsikohumaniora: Jurnal Penelitian Psikologi,"Education, Public Health, Social Sciences, Other"dJurnal Edukasi dan Penelitian Informatika (JEPIN),"Computer Science & IT, Education"dBeta: Jurnal Tadris Matematika,"Education, Social Sciences"dJurnal Kawistara,EducationdJournal of Educational Science and Technology,"Education, Engineering"dAssets: Jurnal Akuntansi dan Pendidikan,"Economics, Econometrics & Finance, Education, Social Sciences"dJournal of English Educators Society,"Education, Languange, Linguistic, Communication & Media"dJurnal Iktiologi Indonesia,"Agriculture, Biological Sciences & Forestry, Education, Public Health"d"Jurnal Pendidikan: Teori, Penelitian, dan Pengembangan",EducationdEDUKASI: Jurnal Penelitian Pendidikan Agama dan Keagamaan,EducationdJurnal Inovasi Pendidikan IPA,"Agriculture, Biological Sciences & Forestry, Education, Mathematics"dJurnal Pendidikan Fisika Indonesia,"Education, Physics"dJurnal Penelitian dan Pembelajaran IPA,EducationdJurnal SPORTIF : Jurnal Penelitian Pembelajaran,EducationdEnglish Review: Journal of English Education,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media"dEralingua : Jurnal Pendidikan Bahasa Asing dan Sastra,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media"dCOUNS-EDU: The International Journal of Counseling and Education,EducationdSawwa Jurnal Studi Gender,EducationdDUNAMIS: Jurnal Teologi dan Pendidikan Kristiani,"Religion, Education, Social Sciences, Other"dAl Ibtida: Jurnal Pendidikan Guru MI,EducationdJurnal Kebijakan dan Administrasi Publik,"Decision Sciences, Operations Research & Management , Education, Public Health, Social Sciences"dStudies in English Language and Education,"Education, Languange, Linguistic, Communication & Media"dISLAMICA: Jurnal Studi Keislaman,"Religion, Education"dJurnal Tadris Kimiya,"Chemistry, Education"dJurnal Pendidikan Islam,EducationdBiosaintifika: Journal of Biology & Biology Education,"Agriculture, Biological Sciences & Forestry"dEDUKASIA,EducationdREiD (Research and Evaluation in Education),EducationdJurnal Prima Edukasia,EducationdAl-Ta lim Journal,EducationdPsikis,EducationdInternational Journal of Computing Science and Applied Mathematics,"Computer Science & IT, Education, Mathematics"dJURNAL SELULOSA,EducationdKonselor,EducationdTadib,EducationdKwangsan: Jurnal Teknologi Pendidikan,"Education, Languange, Linguistic, Communication & Media"dLangkawi: Journal of The Association for Arabic and English,"Education, Languange, Linguistic, Communication & Media, Library & Information Science, Social Sciences"d"EDULITE: Journal of English Education, Literature and Culture",EducationdMAJALAH ILMIAH GLOBE,"Earth & Planetary Sciences, Education"dINFERENSI,"Economics, Econometrics & Finance, Education, Law, Crime, Criminology & Criminal Justice"dJurnal Pendidikan Agama Islam (Journal of Islamic Education Studies),"Arts, Humanities, Education, Social Sciences"dJASF (Journal of Accounting and Strategic Finance),"Economics, Econometrics & Finance, Education, Environmental Science, Social Sciences, Other"dFIKRAH,"Religion, Arts, Humanities, Education"dDinamika Ilmu,"Education, Languange, Linguistic, Communication & Media, Social Sciences"dPanggung,EducationdMADANIA: JURNAL KAJIAN KEISLAMAN,"Religion, Education"dJURNAL TEKNOLOGI PENDIDIKAN,"Computer Science & IT, Education"dArabi : Journal of Arabic Studies,"Education, Languange, Linguistic, Communication & Media"dJURNAL STANDARDISASI,EducationdBuletin Sumber Daya Geologi,"Education, Energy, Engineering, Environmental Science"dKafa`ah: Journal of Gender Studies,EducationdPerspektif : Review Penelitian Tanaman Industri,EducationdVeritas et Justitia,EducationdJurnal Al Bayan: Jurnal Jurusan Pendidikan Bahasa Arab,"Education, Languange, Linguistic, Communication & Media"dPenamas,"Education, Social Sciences"dJurnal Afkaruna,EducationdREKAM,EducationdJurnal Pendidikan Kedokteran Indonesia: The Indonesian Journal of Medical Education,"Health Professions, Medicine & Pharmacology, Public Health"dRELIGIA,"Religion, Humanities, Education"dTARBIYA (Journal of Education in Muslim Society),EducationdElkawnie,"Biochemistry, Genetics & Molecular Biology, Education, Engineering"dSociety,"Humanities, Education, Languange, Linguistic, Communication & Media, Law, Crime, Criminology & Criminal Justice, Social Sciences"dADDIN,"Religion, Arts, Humanities, Education"dJurnal Anestesi Perioperatif,EducationdJurnal Ilmu Pendidikan,EducationdTAWARIKH,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Social Sciences"dPAROLE - Journal of Linguistics and Education,EducationdSMART,"Education, Social Sciences"dJurnal Pendidikan Islam,EducationdJurnal Al-Manahij,EducationdSAINTEK PERIKANAN,EducationdJurnal Pendidikan Indonesia,EducationdJurnal Pendidikan Matematika,"Education, Mathematics"dDinamika Pendidikan,EducationdREAKTOR,EducationdPSIKOPEDAGOGIA Jurnal Bimbingan dan Konseling,EducationdAl-Ulum,"Religion, Education"dJurnal Sains & Teknologi Modifikasi Cuaca,EducationdREINWARDTIA,EducationdJURNAL PENELITIAN,EducationdJurnal Filsafat,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Social Sciences"dAKSIOMA JURNAL PENDIDIKAN MATEMATIKA,"Education, Mathematics"dTREUBIA,EducationdJurnal KALAM,"Religion, Education"dJurnal Wasian,EducationdPALASTREN,Educationd"Journal of Educational, Health and Community Psychology","Education, Public Health"dJurnal Geologi dan Sumberdaya Mineral,"Education, Energy, Engineering, Environmental Science"dJurnal Sains Dirgantara,EducationdJurnal Ilmiah Kursor,EducationdJurnal POETIKA,EducationdSHARE,EducationdAMERTA,"Arts, Humanities, Earth & Planetary Sciences, Education, Environmental Science, Other"dJurnal Penelitian Karet,"Agriculture, Biological Sciences & Forestry, Education"dTSAQAFAH,"Economics, Econometrics & Finance, Education, Law, Crime, Criminology & Criminal Justice, Social Sciences"dBIOEDUSCIENCE,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Education"dJournal of Medives,"Education, Mathematics"dJNPM (Jurnal Nasional Pendidikan Matematika),"Education, Mathematics"dEdukasi Islami : Jurnal Pendidikan Islam,EducationdFormatif: Jurnal Ilmiah Pendidikan MIPA,EducationdJurnal Mosharafa,"Education, Mathematics"dJIPF (Jurnal Ilmu Pendidikan Fisika),"Education, Physics"dJurnal Pendidikan Fisika dan Keilmuan (JPFK),"Astronomy, Education, Physics"dJALIE: Journal of Applied Linguistics and Islamic Education,"Education, Languange, Linguistic, Communication & Media, Social Sciences"dKALAMATIKA Jurnal Pendidikan Matematika,"Education, Mathematics"dDesimal: Jurnal Matematika,"Education, Mathematics, Social Sciences"dScholaria: Jurnal Pendidikan dan Kebudayaan,"Education, Social Sciences"dSJME (Supremum Journal of Mathematics Education),"Education, Mathematics, Social Sciences"dMaPan : Jurnal Matematika dan Pembelajaran,"Education, Mathematics"dInternational Journal of Research in Counseling and Education,"Arts, Humanities, Decision Sciences, Operations Research & Management , Education, Languange, Linguistic, Communication & Media, Social Sciences"dJURNAL IQRA,EducationdJurnal Inspirasi Pendidikan,EducationdJurnal Semantik,"Education, Languange, Linguistic, Communication & Media"dJurnal Pendidikan (Teori dan Praktik),EducationdJurnal Sains dan Teknologi,"Computer Science & IT, Education"dCurricula : Journal of Teaching and Learning,EducationdPremiere Educandum: Jurnal Pendidikan Dasar dan Pembelajaran,EducationdMimbar Sekolah Dasar,EducationdJurnal Penjaminan Mutu,"Education, Social Sciences"dJIPM (Jurnal Ilmiah Pendidikan Matematika),EducationdREFLEKSI EDUKATIKA,EducationdSOSIO DIDAKTIKA,EducationdPolyglot: Jurnal Ilmiah,Education
Jurnal Bimbingan dan Konseling Terapan,"Education, Social Sciences"
Jurnal Riset dan Kajian Pendidikan Fisika,"Decision Sciences, Operations Research & Management , Education, Physics"
LLT Journal: A Journal on Language and Language Teaching,"Arts, Humanities, Education, Languange, Linguistic, Communication & Media, Social Sciences"
Teorema: Teori dan Riset Matematika,"Education, Mathematics"
Jurnal Pendidikan Edutama,Education
Journal of ICSAR,Education
Jurnal Analisa,Education
Jurnal Al-Tadzkiyyah,Education
JUPIIS: Jurnal Pendidikan Ilmu-ilmu Sosial,"Education, Social Sciences"
