SINTA_INDEX,JOURNAL_TITLE,ARTICLE_TITLE,ARTICLE_ABSTRACT
S0,International Journal of Electrical and Computer Engineering (IJECE),FIBER OPTICS BASED SCHEMES MODELING AND SIMULATION OF QOS FOR WI-FI SCENARIOS USING OPNET MODELER ,"Wireless Fidelity (Wi-Fi) network is created on the IEEE 802.11 standard. Connections for local devices in homes and business arenas are provided by Wi-Fi units. With the growing demand as well as penetration of wireless services, the wireless networks users now assume Quality of Service (QoS) besides performances comparable to what is accessible from secure networks. In this paper, OPNET Modeler is used as module and for the simulation of a fiber optic-based Wi-Fi network within a fixed local area network. The aim of this paper is to evaluate their Quality of service (QoS) performances in terms of Wi-Fi voice-packet delay and End-to-End for both Wi-Fi base fiber and Wi-Fi base line. Many scenarios, with same Physical and MAC parameters, have many subnet networks are implementing with fiber optics baseline in addition to Wi-Fi baseline, were created in the network OPNET simulation tool for obtaining the results. The results of simulation reveal that base line demonstrated more delay than base fiber."
S0,Journal of Mathematical and Fundamental Sciences,PQL: Operasi Komposisi dan Jaringan Semantik Data ,"Sari. Public Query Language (PQL) adalah bahaas penelusuran (query) pada basis data model relasi, yang lebih bersifat user friendly relative terhadap bahasa penelusuran pada Generasi ke-IV (SQL, QBE, QUEL, dll). Dari sisi struktur bahasa, PQL didasarkan pada struktur sintaks linier (tidak terdapat struktur blok rekursif). Pada sisi tampilan, hasil eksekusi dibentuk berdasarkan definisi entitas (bukan tuppel, seperti pada SQL). Dengan demikian duplikasi data pada tampilan dapat dihilangkan. Proses query dan prinsip tampilan yang dimaksudkan pada PQL dapat diimplementasikan dalam DBMS, dengan menerapkan teknik penggabungan (operator komposisi), yang didasarkan pada prinsip operator join dan navigasi pada jaringan semantik data. Operator komposisi dan jaringan semantik data adalah topik utama penelitian yang dijelaskan pada tulisan ini.PQL: Composition Operator and Semantic Data NetworkAbstract. Public Query Language (PQL) is the syntax of query for relational database, which is categorized as highly user friendly compared to the 4-th generation language (SQL, QBE, QUEL,etc.). As a query language, PQL is constructed as linear syntax (without block recursive). Visualization of the result is constructed as an entity (not tupple, as happened in SQL). As a consequence, duplication of data on the results could be rejected. Query process and the principle of visualization of result of PQL can be adapted as part of DBMS, using composition method (Composition Operator), developed as an interpretation of join operator and navigation, supported by Data Semantic Network. Both Composition Operator and Data Semantic Network are main topic discussed in this article, as the result of this research on PQL."
S0,Journal of Mathematical and Fundamental Sciences,Penutupan dengan Asbes Dapat Memperbaiki Sifat Mekanik dari Sambungan Baja dengan Las Busur Listrik ,"Ringkasan. Sifat-sifat mekanik yang penting dari sambungan las adalah kekuatan dan keuletan. Kedua sifat ini dapat diuji dengan pengujian tarik, pengujian takik dan pengujian kekerasan. Kedua sifat utama tersebut sangat tergantung dari perlakuan lanjut yang dikenakan pada sambungan yang dimaksud. Di dalam penelitian ini dibandingkan pengaruh dari tiga perlakuan lanjut terhadap kedua sifat mekanik tersebut di atas pada sambungan las baja dengan busur listrik. Ketiga perlakuan lanjut yang dimaksud adalah: (a) tanpa perlakuan apa-apa, (b) dipanaskan dalam tungku pada temperature 650C selama setengah jam dan diikuti dengan pendinginan di dalam tungu dan (c) ditutup dengan asbes segera setelah selesai pengelasan lapisan las yang terakhir. Hasil penelitian menunjukkan bahwa penutupan dengan asbes menghasilkan sifat-sifat mekanik yang lebih baik dari pada pengelasan yang tidak diikuti dengan perlakuan apa-apa, walaupun belum menyamai hasil dari pengelasan yang mendapat perlakuan lanjut dengan pemanasan di dalam tungku.Abstract. The important mechanical properties in welding technology are strength and ductility of the welded joint. These two properties can be examined through tensile testing, impact testing and hardness testing. It has been known that those two properties are influenced by the post treatment imposed to the welded joint. In this work, those properties were studied on electric arc welded joints of steel plates which have undergone three different post treatments. The three treatments are: (a) without post treatment, (b) heated in the furnace at 650 C for half an hour followed by furnace cooling and (c) covering the weld with asbest immediately after the last pass of welding process. Results of the study shows that covering the weld with asbests produces better mechanical properties than that without treatment, eventhough it is still inferior compared to the one which has been heated in the furnace. Due to the incomplexity and uncostly of the asbest-covered post treatment, it is necessary to study further the development of this treatment process for practical use."
S0,Journal of Mathematical and Fundamental Sciences,Gerak Photon dalam Medan Gravitasi jang Kuat disekitar Bintang jang Mampat. ,"Ringkasan. Dalam tulisan ini, review mengenai gerak photon dalam medan gravitasi jang kuat diberikan. Photon jang dipantjarkan dari sekitar atau dalamnja sebuah bintang jang sangat mampat dapat lepas, djatuh kembali, atau bergerak dalam orbit lingkaran, bergantung pada arah mula2 dari ketjepatan photon.Abstract. In this paper, a review of the motion of photons in a strong gravitational field is given. Photon which are emitted from the neighborhood or from within a superdense star, may escape, falling or moving in a circular orbit, depending on the initial direction of the photons."
S0,Journal of Mathematical and Fundamental Sciences,Kajian Biodegradasi Limbah Cair Industri Biodiesel pada Kondisi Anaerob dan Aerob ,"Penelitian ini bertujuan untuk menangani limbah yang terjadi dari industri biodiesel. Air limbah yang dihasilkan dari industri biodiesel diperkirakan memiliki kandungan organik yang cukup tinggi. dengan demikian perlu dipertimbangkan untuk mengolahnya dengan proses anaerob, sehingga berpotensi untuk mendapatkan produk samping berupa biogas (gas metana). Namun demikian, proses aerob sebagai kelanjutan degradasi secara anaerob harus pula ditinjau, karena masih adanya kandungan organik yang tersisa setelah proses anaerob. Hasil penelitian menunjukkan bahwa efisiensi proses anaerob masih kecil yang ditunjukkan oleh hasil uji Biochemical Methane Potential (BMP) yang hanya sekitar 30%, akan tetapi dari uji Anaerobic Toxicity Assay (ATA) tampak bahwa limbah cair tidak menghambat pertumbuhan mikroorganisme metanogen. Kinerja proses aerob juga belum menunjukkan hasil yang maksimal, karena efisiensi biodegradasi baru sekitar 75-80%. Hal ini karena proses aerob seharusnya ditujukan untuk mengolah lebih lanjut efluen proses anaerob."
S0,Journal of Mathematical and Fundamental Sciences,Studi Pengembangan Model Turbulen - untuk Sirkulasi Arus II: Aliran Turbulen Dua Dimensi pada Saluran Ekspansi ,"Makalah ini menyajikan hasil studi pemodelan mengenai pola aliran turbulen 2 dimensi pada sebuah saluran yang mengalami ekspansi dengan memanfaatkan model depth averaged -. Model numerik dikembangkan berdasarkan metoda beda hingga, dimana untuk pemecahan persamaan hidrodinamik digunakan kombinasi metoda ekplisit Mac Cormack dan metoda pemisahan operator splitting. Sebagai tracer untuk melakukan visualisasi struktur aliran digunakan model transport kualitas air. Suku konveksi, difusi, dan reaksi diselesaikan dengan skema QUICKEST, Central Scheme, dan Euler Scheme. Hasil yang dicapai model dalam mensimulasikan pola arus untuk kasus saluran lurus dan ekspansi menunjukan tingkat kesesuaian yang cukup baik dengan hasil pengukuran di Laboratorium. Dibandingkan dengan model non turbulen, hasil model menunjukkan peningkatan akurasi yang signifikan dalam hal besar kecepatan arus, pola arus dan sebaran konstituent kualitas air, terutama pada zona resirkulasi. Model dapat mensimulasikan pola sirkulasi arus dan terbentuknya vorteks pada zona sirkulasi. Namun demikian, untuk aliran dengan bilangan Reynold cukup rendah, osilasi dan ketidakstabilan numerik masih menjadi kendala."
S0,Journal of Mathematical and Fundamental Sciences,Karakteristik Deformasi Gunungapi Ijen dalam Periode 2002-2005 Hasil Estimasi Metode Survei GPS ,"Pemantauan aktivitas gunungapi dapat dilakukan dengan berbagai metode, dimana salah satunya adalah metode deformasi. Metode ini dapat diimplementasikan menggunakan beragam sensor dan teknik, dimana salah satunya adalah teknik yang menggunakan pengamatan terhadap satelit GPS (Global Positioning System). Makalah ini menjelaskan penggunaan metode survei GPS secara periodik untuk studi deformasi Gunungapi Ijen, gunungapi aktif tipe-A yang terletak di Jawa Timur. Dari hasil survei GPS yang telah dilaksanakan pada Juni 2002, April 2004, Juni 2004 dan Agustus 2005 teramati bahwa pada saat aktivitas gunung Ijen meningkat, pergeseran titik-titik pengamatan dapat mencapai sekitar 1-2 dm, baik dalam komponen horisontal maupun vertikal. Deformasi dalam level ini belum disertai dengan aktivitas letusan dari gunung Ijen."
S0,Journal of Mathematical and Fundamental Sciences,Pemodelan Hubungan Hujan dan Aliran Permukaan pada Suatu DAS dengan Metoda Beda Hingga ,"Hujan menimbulkan aliran di daratan, baik aliran permukaan maupun aliran di dalam tanah. Pada jurnal ini, akan dibahas mengenai perangkat lunak yang dapat digunakan untuk memodelkan aliran di permukaan. Perangkat lunak ini dikembangkan berdasarkan persamaan Saint Venant, dengan menggunakan skema pengepingan MacCormack 2D. Perhitungan limpasan permukaan terhadap waktu dilakukan untuk 5 profil permukaan tanah yang berbeda, profil datar, segitiga, parabolik, dan 2 profil alam. Pada profil yang berbentuk datar, dilakukan perbandingan solusi antara analitik dan numerik yang menunjukkan bahwa keduanya tidak jauh berbeda."
S0,Journal of Mathematical and Fundamental Sciences,Kajian Peningkatan Akurasi Matriks Asal-Tujuan yang Dihasilkan dari Data Arus Lalulintas pada Kondisi Keseimbangan ,"Informasi kondisi arus lalulintas sangat berguna pagi pengguna jalan karena pengguna jalan tersebut dapat memilih dan menentukan rute perjalanan terbaik yang akan dilaluinya sebelum melakukan perjalanan. Penelitian ini bertujuan akhir untuk mengembangkan sistem informasi arus lalulintas bagi pengguna jalan untuk wilayah Kota Bandung, yang dikembangkan menggunakan data arus lalulintas secara waktu nyata. Masukan utama yang diperlukan untuk mengembangkan sistem informasi tersebut adalah Matriks Asal-Tujuan (MAT) yang dikembangkan berdasarkan informasi arus lalulintas. Pada penelitian tahap ini telah ditinjau beberapa faktor yang berpengaruh terhadap peningkatan akurasi MAT yang dihasilkan dari data arus lalulintas, dimana model Gravity (GR) digunakan sebagai model sebaran pergerakan. Jenis metode estimasi yang akan ditinjau pengaruhnya adalah: Kuadrat-Terkecil (KT), Kemiripan-Maksimum (KM), Inferensi-Bayes (IB), dan Entropi-Maksimum (EM). Sedangkan model pemilihan rute yang akan ditinjau pengaruhnya adalah model all-or-nothing dan keseimbangan. Hasil penelitian menyimpulkan bahwa terdapat tingkat keakurasian yang cukup tinggi dalam proses estimasi MAT. Hal tersebut ditunjukkan berdasarkan nilai optimum dari fungsi tujuan serta hasil pengujian statistik."
S0,Journal of Mathematical and Fundamental Sciences,Sistem Kontrol Hibrida Sinyal Rujukan Berbasis Logika Fuzzy untuk Peningkatan Kinerja Transien Pengontrol PID ,"Makalah ini membahas suatu metoda kontrol yang disebut kontrol sinyal rujukan (set-point) dengan pengambilan keputusan menggunakan logika fuzzy. Metoda ini dirancang untuk mengurangi keterbatasan sistem kontrol umpan balik yang harus mempunyai penguatan pengontrol tinggi untuk menghasilkan kinerja transien yang cepat. Metoda kontrol sinyal rujukan dapat memperbaiki kinerja transien dengan tanpa mempengaruhi karakteristik dinamik sistem kontrol lup tertutupnya. Pada makalah ini, pengontrol umpan balik yang digunakan adalah pengontrol PID dan kontrol sinyal rujukan menggunakan pengambilan keputusan dengan sistem fuzzy berdasarkan sinyal kesalahan. Kinerja metoda kontrol sinyal rujukan dengan sistem logika fuzzy dan sistem kontrol umpan balik dengan pengontrol PID diperlihatkan oleh beberapa hasil simulasi pada model umum sistem berorde satu dan dua dengan waktu mati."
